bin01_ComSq_F3	bin02_ComPh_F3	bin04_RareSq_F3	bin05_RarePh_F3	bin07_ComAve_F3	bin08_RareAve_F3	bin09_PhAve_F3	bin010_SqAve_F3	bin012_Sqdiff_F3	bin13_PhDiff_F3	bin15_RCAveDiff_F3	bin16_PSAveDiff_F3		   ERPset
  2.744	  1.356	   0.282	   2.835	   1.861	    0.478	  2.096	  1.513	  -2.462	   1.480	     -1.383	      0.583	TECH4002_ERPs_filt
  3.498	  3.626	   7.860	   6.077	   3.746	    5.319	  4.852	  5.679	   4.362	   2.451	      1.573	     -0.828	TECH4005_ERPs_filt
  0.103	  1.141	   2.435	   2.601	   0.801	    3.188	  1.871	  1.269	   2.332	   1.460	      2.387	      0.602	TECH4006_ERPs_filt
 12.850	 13.140	  11.311	   9.057	  13.096	   11.699	 11.098	 12.081	  -1.538	  -4.083	     -1.397	     -0.982	TECH4007_ERPs_filt
  5.978	  7.972	   7.451	   3.235	   6.754	    5.265	  5.604	  6.715	   1.474	  -4.737	     -1.489	     -1.111	TECH4008_ERPs_filt
  5.025	  6.054	   3.982	   4.869	   5.606	    4.272	  5.462	  4.503	  -1.043	  -1.185	     -1.334	      0.958	TECH4011_ERPs_filt
  9.766	  8.796	  13.304	   9.022	   9.982	   10.010	  8.909	 11.535	   3.539	   0.226	      0.028	     -2.626	TECH4013_ERPs_filt
  1.319	 -0.219	  -1.906	   0.813	   0.057	   -0.100	  0.297	 -0.293	  -3.226	   1.032	     -0.157	      0.591	TECH4014_ERPs_filt
  9.387	 10.503	   8.996	   8.830	   8.902	    8.642	  9.666	  9.192	  -0.391	  -1.674	     -0.260	      0.475	TECH4015_ERPs_filt
  7.462	  7.714	   9.708	   4.236	   7.798	    7.242	  5.975	  8.585	   2.246	  -3.478	     -0.556	     -2.610	TECH4016_ERPs_filt
  5.325	  4.353	   3.694	   4.423	   4.988	    5.192	  4.388	  4.509	  -1.631	   0.070	      0.204	     -0.121	TECH4017_ERPs_filt
  9.006	  9.851	  10.059	   9.041	   9.430	    9.392	  9.446	  9.533	   1.053	  -0.809	     -0.038	     -0.087	TECH4018_ERPs_filt
  5.691	  6.805	   5.265	   4.986	   6.220	    4.988	  5.896	  5.478	  -0.427	  -1.818	     -1.232	      0.417	TECH4019_ERPs_filt
  2.992	  2.541	   2.388	   4.106	   2.335	    2.722	  3.324	  2.690	  -0.604	   1.566	      0.388	      0.634	TECH4021_ERPs_filt
  2.066	  1.544	   2.436	   1.597	   1.631	    2.233	  1.571	  2.251	   0.370	   0.052	      0.602	     -0.680	TECH4022_ERPs_filt
  5.233	  6.095	   3.078	  -0.647	   6.144	    1.667	  2.724	  4.155	  -2.154	  -6.742	     -4.477	     -1.432	TECH4024_ERPs_filt
  9.439	  7.702	   8.274	   8.681	   8.600	    8.722	  8.191	  8.856	  -1.165	   0.979	      0.122	     -0.665	TECH4025_ERPs_filt
